설치주소,기구종류,기구수량,설치년도,관리주기,관리부서,데이터기준일자
전라북도 정읍시 입암면 입암반월길 41 (반월경로당 앞),"허리돌리기+하늘걷기, 달리기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 입암면 양지길 16-17 (양지경로당),"허리돌리기+하늘걷기, 달리기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 입암면 천원아랫길 4,"등지압기+양팔줄당기기, 큰활차머신+허리돌리기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 입암면 엄동길 20-4,"허리돌리기+파도타기, 큰활차머신+다리뻗치기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 입암면 단곡월천길 16,"싸이클+허리돌리기, 어깨유연성운동+하늘걷기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 입암면 안당 3길 35( 문당경로당 앞),"양팔줄당기기,허리돌리기+달리기운동",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 입암면 영안길 25-3(영안마을 모정 앞),"허리돌리기,하늘걷기+양팔줄당기기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 입암면 만신길 34(만화마을 버스승강장 앞),"허리돌리기,하늘걷기+양팔줄당기기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 입암면 대흥리 308 (마을회관 뒤편 광장),"공중걷기+양팔줄당기기, 파도타기+상체근육풀기 ",2,2022,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 입암면 봉양 464-5 (봉양마을 모정),역기내리기+작은활차머신,1,2022,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 입암면 봉양리 539-7 (원봉양마을 모정),양팔줄당기기+다리마사지기,1,2022,상시,정읍시 시설관리사업소,2022-12-14
"전라북도 정읍시 소성면 기린리 336-1(마을공터, 기린교회 앞)","어깨돌리기, 파도타기, 하늘걷기",3,2008,상시,정읍시 시설관리사업소,2022-12-14
"전라북도 정읍시 소성면 애당리 324-3(마을공터, 두암교회 앞)","온몸근육풀기, 옆파도타기, 온몸허리돌리기",3,2008,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 소성면 주천리 주동 109-1(경로당),"치닝머신, 트위스트머신, 하늘걷기, 양팔줄당기기, 어깨근육풀기, 온몸허리돌리기, 큰활차머신, 싵업머신",8,2014,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 소성면 등계마동길54-2(마동경로당),"가로하늘타기, 허리돌리기, 상체근육풀기",3,2014,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 소성면 등계리 산 12-1(정읍교도소),"하늘걷기, 물결타기, 상체근육풀기",3,2016,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 소성면 고교리 1052-2(모정),"허리돌리기, 어깨유연성, 상체근육풀기+줄당기기",3,2017,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 소성면 신천리 407-10(마을공터),"공중걷기, 상체근육풀기, 허리돌리기",3,2017,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 소성면 보애길 372(모정),"상체근육풀기, 달리기운동",2,2017,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 소성면 화룡리 537-4(모정),"허리돌리기, 상체근육풀기, 달리기운동",3,2017,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 소성면 고교리 336-1(모정),"허리돌리기,상체근육풀기,달리기",3,2018,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 소성면 중광리 34-4(모정),"허리돌리기,어깨근육풀기,노젓기",3,2019,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 소성면 원두길 21 (원두마을회관),"허리돌리기, 상체근육풀기, 공중걷기",3,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 소셩면 연천2길 48-36 (연천마을 모정),"허리돌리기, 어깨근육풀기, 노젓기운동",3,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 소성면 재경길 17 (재경마을 모정),"허리돌리기, 어꺠근육풀기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 소성면 용산길 13(용산마을 모정),"허리돌리기, 어깨근육풀기, 등허리지압기",3,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 소성면 광조길 42-1(광조마을 모정),"허리돌리기, 어깨근육풀기, 노젓기운동",3,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 소성면 보애길 125(기정마을 모정),"허리돌리기, 어깨근육풀기, 달리기운동",3,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 소성면 소고길 85(소고마을 마을회관),"상체근육풀기, 어깨근육풀기, 허리돌리기",3,2021,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 소성면 보화리 895-1 (와석마을 버스승강장 옆 공터),"공중걷기, 파도타기",2,2022,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 고부면 교동3길 4(민속유물전시관),"로프당기기,  허리돌리기, 공중걷기",3,2012,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 고부면 용흥리 629-4(마을회관),"로프당기기,  허리돌리기, 공중걷기",3,2009,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 고부면 덕안리 230-12(마을회관),"로프당기기, 허리돌리기",2,2011,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 고부면 강고리 128-2(마을회관),"로프당기기, 허리돌리기, 입식자전거",3,2011,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 고부면 관청리 936-2 (눌제공원),"허리돌리기, 상체근육풀기, 달리기",3,2012,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 고부면 관청리 571-1 (송공 경로당 앞),"로프당기기, 허리돌리기, 공중걷기",3,2012,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 고부면 신흥리 592-67 (신흥마을 회관 마당),"로프당기기, 허리돌리기,  파도타기",3,2013,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 고부면 상만2길 5-3 (상만 경로당 옆),"상체근육풀기, 허리돌리기, 파도타기",3,2015,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 고부면 입석4길 162 (보문사 입구),"로프당기기, 파도타기, 허리돌리기",3,2011,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 고부면 입석리 607-2 (입석제1저수지제방아래),"허리돌리기, 윗몸일으키기, 평행봉 ,철봉",4,2011,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 고부면 고부리 201-1 (교동마을 모정 앞),"로프당기기, 허리돌리기, 오금펴기",3,2016,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 고부면 용등길 38 (용등마을 회관 앞) ,"양팔줄당기기+ 상체근육풀기, 허리돌리기 + 하늘걷기",2,2017,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 고부면 용흥리 591-7 (신용1마을 회관 뒤),"작은활차 + 팔근육풀기, 허리돌리기 + 하늘걷기",2,2019,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 고부면 만수길 160-3 (서당마을 경로당 옆),"공중걷기 + 허리돌리기, 다리뻗치기 + 양팔줄당기기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 고부면 입석4길 10-8 (입석리 여성노인회관),"파도타기 + 허리돌리기, 양팔줄당기기 + 상체근육풀기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 고부면 만수리 하만길 25 (하만마을 모정 옆),"오금펴기 + 줄당기기, 어깨유연성 + 상체근육풀기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 고부면 덕안리 224-2 (진선마을 회관 옆),"어깨유연성+상체근육풀기, 싸이클+달리기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 고부면 관청리 312-1 (청용마을 회관 앞),"줄당기기 + 상체근육풀기, 하늘걷기, 등허리지압기",3,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 고부면 관청리 663-1 (관청마을 회관 옆),"하늘걷기 + 허리돌리기, 상체근육풀기 + 양팔줄당기기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 소성면 고교리 1025-1 (종암마을 모정 옆),"큰활차머신, 허리돌리기, 로프당기기",3,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 고부면 장문리 229-1번지(음지마을회관 마당),"양팔줄당기기 + 사이클,  어깨근육풀기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 고부면 백운리 378-3 (운용마을 회관 마당),"양팔줄당기기 + 사이클, 어깨근육풀기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 덕안 덕안리 620-1(마을회관 앞 주차장),"허리돌리기+상체풀기, 물결타기+하늘걷기",2,2021,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 덕안 덕안리 97-8,"공중걷기+상체풀기, 허리돌리기+양팔줄당기기",2,2021,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 고부면 관청리 131-1(작산마을회관 마당),"좌식싸이클+허리돌리기, 큰활차머신+양팔줄다리기",2,2022,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 고부면 만화리 208-1(만화마을경로당 마당),"어깨근윧풀기+오금펴기, 상체근육운동+허리돌리기",2,2022,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 영원면 장재1길 60 (장재마을회관 앞),"허리돌리기, 어깨유연성운동+상체근육풀기, 양팔줄당기기+싸이클",3,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 영원면 장재2길 27(신기마을 경로당),"상체근육풀기+허리돌리기, 어깨유연성+양팔로프당기기",2,2022,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 영원면 장재리 56-16,"공중걷기, 상체근육풀기, 허리돌리기",3,2017,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 영원면 주촌길 32-2 (경로당 뒤),하늘걷기+허리돌리기,1,2015,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 영원면 장재리 2080-1(모정),"양팔줄당기기+역기올리기, 허리돌리기+달리기",2,2018,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 영원면 장재리 130-4,"상체근육풀기+허리돌리기, 싸이클+하늘걷기",2,2022,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 영원면 앵성리 105-1,"줄당기기+상체근육풀기, 하늘걷기, 물결타기",3,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 영원면 앵성리 161-1,"허리돌리기2, 철봉, 평행봉 / 양팔줄당기기+상체근육풀기 / 싸이클+달리기",6,2004,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 영원면 수성길 15(모정)  앵성리 610-47(수성마을광장),"상체근육풀기, 허리돌리기 / 파도타기, 달리기+공중걷기",4,2016,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 영원면 앵성리 603-24(신성마을회관 앞),"허리돌리기+달리기, 큰활차머신",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 영원면 앵성리 704-26 / 앵성리 1269-7,"파도타기+공중걷기, 줄당기기+허리돌리기, 양팔줄당기기+싸이클, 큰활차머신+허리돌리기",4,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 영원면 운학리 569-1(모정) /영원면 금곡2길 13(마을회관) ,"파도타기+공중걷기, 허리돌리기+달리기 / 어깨근육풀기, 양팔줄당기기+싸이클",4,"2019, 2020",상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 영원면 운학리362-1,"하늘걷기, 큰활차머신, 허리돌리기, 양팔줄당기기, 옆파도타기",5,2006,상시,정읍시 시설관리사업소,2022-12-14
