설치주소,기구종류,기구수량,설치년도,관리주기,관리부서,데이터기준일자
전라북도 정읍시 교암동458-1,"상체근육풀기,  양팔로프당기기, 허리 돌리기",4,2012,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 삼산동 747-1,"상체근육풀기, 허리돌리기",2,2011,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 하모동 417-4(경로당),"양팔로프당기기, 허리 돌리기,하늘걷기",3,2013,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 진산동 355(경로당),"등허리지압기, 양팔로프당기기",1,2016,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 용산동 422-1(경로당),"양팔로프당기기, 파도타기, 허리돌리기",3,2016,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 상평동 97-4(신흥장미2차@),"양팔로프당기기, 허리돌리기, 파도타기",3,2016,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 상평동 97-4(신흥장미2차@),"달리기+하늘걷기,거꾸로매달리기",2,2019,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 과교동377(모정),"상체근육풀기, 양팔로프당기기, 허리돌리기",3,2016,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 신정동1456-1(마을뒤),"윗몸일르키기, 허리돌리기, 공중걷기,오금펴기,자전거타기,파도타기",2,2012,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 신정동575-2(마을입구 버스정류장 맞은편),"오금펴기, 파도타기, 공중걷기, 자전거타기",4,2012,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 진산동 106-1(삼군마을 당산나무),"양팔로프당기기, 허리돌리기",3,2017,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 진산1길 31(진산경로당),"양팔로프당기기, 등지압기",2,2017,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 신월동 647-5(모정옆),"달리기, 상체근육풀기+허리돌리기, 파도타기",3,2017,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 과교동 351(마을회관),"하늘걷기+허리돌리기, 양팔로프당기기",2,2018,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 과교동 130-3(마을회관),"하늘걷기+허리돌리기, 양팔로프당기기",2,2018,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 상교동산 15-10(필야정),"허리돌리기+ 상체근육풀기, 오금펴기+상체근육운동기, 위몸일르키기,철봉,거꼬로매달리기",2,2018,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 상평동 400-5(마을회관),"하늘걷기+허리돌리기,양팔로프당기기",2,2018,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 상평동 77-6(마을회관),"하늘걷기+허리돌리기,양팔로프당기기",2,2018,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 신정동 691-1(마을회관),"하늘걷기+허리돌리기,양팔로프당기기",2,2018,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 원상평길 18(마을회관),"하늘걷기+허리돌리기, 줄당기기+상체근육풀기",2,2019,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 백학2길 115(마을회관),"싸이클+달리기,하늘걷기+등허리지압기",2,2019,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 용산동 788-7,"허리돌리기+하늘걷기, 줄당기기+상체근육풀기",2,2019,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 신정동 1469-3(경로당),"허리돌리기+하늘걷기, 줄당기기+상체근육풀기",2,2019,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 삼산동 938-15 (신구마을 모정 옆),"상체근육풀기+양팔줄당기기, 등허리지압기, 싸이클+허리돌리기",3,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 신정동 564-3 (전지마을 경로당 옆),"상체근육풀기+양팔줄당기기, 등허리지압기, 싸이클+허리돌리기",3,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 상평동 795-1(향지마을 모정 옆),"상체근육풀기+양팡줄당기기, 등허리지압기, 싸이클+허리돌리기",3,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 상평동 927-1(칠정1마을 진입로 앞),"상체근육풀기+양팔줄당기기, 등허리지압기, 싸이클+허리돌리기",3,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 교암동 652-6(조월마을 모정 앞),"달리기+허리돌리기, 양팔줄당기기+싸이클",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 신정동 1454(신정마을 경로당 앞),"역기내리기+허리돌리기, 상체근육풀기+줄당기기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 신정동 813-2(금구마을 모정 앞),"상체근육풀기+양팔줄당기기, 등허리지압기, 싸이클+허리돌리기",3,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 용신길73(신기마을모정옆),"허리돌리기+상체근육풀기, 양팔로프당기기+어깨유연성",2,2022,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 삼산동927(내동마을회관앞),"양팔줄당기기+싸이클, 큰활차머신+허리돌리기",2,2022,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 유성길61(음성마을모정옆),"양팔로프당기기+하늘걷기, 어깨유연성+상체근육풀기",2,2022,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 석고길31(석고모정 옆),"로프당기기+어깨유연성, 상체근욱풀기+물결타기",2,2022,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 신성길161(신성경로당앞),"로프당기기+어깨유연성, 허리돌리기+물결타기",2,2022,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 신우길(산재마을회관앞),"앙팔로프당기기+어깨유연성, 허리돌리기",2,2022,상시,정읍시 시설관리사업소,2022-12-14
