체육시설명,도로명주소,지번주소
창신아파트 내 체육시설,"경상북도 영천시 창신1길 21 (망정동, 창신타운)  ",경상북도 영천시 망정동 471 창신타운  
청솔아파트 내 체육시설,"경상북도 영천시 창신1길 22 (망정동, 청솔아파트)  ",경상북도 영천시 망정동 462 청솔아파트  
언하공단 산책로 체육시설,경북 영천시 조교동 470  ,경북 영천시 조교동 470  
문외동 등산로,경북 영천시 문외동 산 4  ,경북 영천시 문외동 산 4  
오미동 등산로,경북 영천시 오미동 산 123  ,경북 영천시 오미동 산 123  
금노2공원,경상북도 영천시 담안1길 21 (금노동)  ,경상북도 영천시 금노동 556-4  
망정제3공원,   ,경북 영천시 망정동 417-5  
문내외제1공원,   ,경북 영천시 문내동 13-1  
문외공원,경상북도 영천시 청산1길 19 (문외동)  ,경상북도 영천시 문외동 5-4  
문화1공원,"경상북도 영천시 영천고2길 9 (야사동, 문화아파트)  ",경상북도 영천시 야사동 186 문화아파트  
문화2공원,"경상북도 영천시 문화새길 25 (야사동, 문화아파트상가)  ",경상북도 영천시 야사동 187-2 문화아파트상가  
봉동공원,   ,경북 영천시 도남동 76  
야사공원,경상북도 영천시 상록4길 66 (야사동)  ,경상북도 영천시 야사동 334-35  
완산2공원,   ,경북 영천시 완산동 1465  
완산근린공원,   ,경북 영천시 완산동 742-6  
주남공원,경상북도 영천시 담안7길 22-4 (금노동)  ,경상북도 영천시 금노동 604-32  
중앙공원,경상북도 영천시 문외1길 34-7 (문외동)  ,경상북도 영천시 문외동 153-5  
채신2공원,   ,경북 영천시 채신동 765-1  
채신3공원,경상북도 영천시 영천산단로 25 (채신동)  ,경상북도 영천시 채신동 769-1  
효1리 경로당,경상북도 영천시 임고면 운주로 355-1  ,경상북도 영천시 임고면 효리 863-5 효1리 경로당
고천리 마을쉼터,경북 영천시 임고면 우항리 850-1  ,경북 영천시 임고면 우항리 850-1  
양항1리 경로당,경상북도 영천시 임고면 양항3길 8  ,경상북도 영천시 임고면 양항리 276-8 양항1리경로당  
오동리 동네체육시설,경상북도 영천시 화북면 공덕길 4 오산리 1133-2,경상북도 영천시 화북면 공덕리 375 오산리 1133-2
자천2리 동네체육시설(가동보),경북 영천시 화북면 자천리 2459-14  ,경북 영천시 화북면 자천리 2459-14  
횡계리 동네체육시설,경상북도 영천시 화북면 화북길 93 횡계리 255-3,경상북도 영천시 화북면 자천리 1470 횡계리 255-3
공덕리 동네체육시설,경상북도 영천시 화북면 공덕길 33-3  ,경상북도 영천시 화북면 공덕리 703 공덕리마을회관  
별빛문화센터 체육시설,경상북도 영천시 화북면 정각길 71-39  ,경상북도 영천시 화북면 정각리 206 별빛문화센터  
살미산 등산로 체육시설,경북 영천시 화북면 자천리 산 240  ,경북 영천시 화북면 자천리 산 240  
상송리 동네체육시설,경상북도 영천시 화북면 화북길 93 화북면 상송리 442,경상북도 영천시 화북면 자천리 1470 화북면 상송리 442
오산1리 동네체육시설,경상북도 영천시 화북면 오공길 210  ,경상북도 영천시 화북면 오산리 814  
은하수마을 동네체육시설,경상북도 영천시 화북면 은하수길 92 입석리 401-11,경상북도 영천시 화북면 입석리 401-12 입석리 401-11
자천2리 동네체육시설(동송보),   ,경북 영천시 화북면 자천리 2459-9  
채신1공원,경북 영천시 채신동 749-6  ,경북 영천시 채신동 749-6  
하송리 동네체육시설,경상북도 영천시 화북면 화북길 93 화북면 하송리 110-2,경상북도 영천시 화북면 자천리 1470 화북면 하송리 110-2
강변공원1,   ,경북 영천시 문외동 317  
강변공원2,   ,경북 영천시 과전동 143  
도림1경로당,경상북도 영천시 직동길 117-14 (도림동)  ,경상북도 영천시 도림동 1169-1  
도림2경로당,경상북도 영천시 토골길 30 (도림동)  ,경상북도 영천시 도림동 698  
매산2경로당,경상북도 영천시 갈마일길 119-4 (매산동)  ,경상북도 영천시 매산동 772-1 매산2동노인  
매산숲공원,   ,경북 영천시 매산동 1492-39  
문내1공원,   ,경북 영천시 문내동 13-1  
문내주공아파트,경상북도 영천시 중앙동2길 121 (문내동)  ,경상북도 영천시 문내동 207 영천문내주공아파트  
