연번,관리번호,위치,설치장소,기구명,데이터기준일
292,용진읍-간중리-원간중마을,용진읍 간중리 555-2,원간중마을,워밍암,2023-02-01
293,용진읍-간중리-원간중마을,용진읍 간중리 555-2,원간중마을,트윈트위스트,2023-02-01
294,용진읍-간중리-두억마을,용진읍 두억길 13-10,두억경로당 옆,전신하늘걷기,2023-02-01
295,용진읍-간중리-두억마을,용진읍 두억길 13-10,두억경로당 옆,크로스컨츄리,2023-02-01
296,용진읍-간중리-도계마을,용진읍 봉서로 198,도계경로당,활차머신,2023-02-01
297,용진읍- 서계마을,용진읍 상운리 511-1,용진읍 상운리 511-1,"공중걷기, 파도타기",2023-02-01
298,용진읍- 서계마을,용진읍 상운리 511-1,용진읍 상운리 511-1,큰활차,2023-02-01
299,용진읍- 서계마을,용진읍 상운리 511-1,용진읍 상운리 511-1,다리밀기,2023-02-01
300,상관면-신리-신흥마을,상관면 신리신흥길 8,신흥마을,큰활차머신,2023-02-01
301,상관면-신리-신흥마을,상관면 신리신흥길 8,신흥마을,트위스트머신,2023-02-01
302,상관면-신리-백암마을,상관면 만남의 광장 앞 카풀 주차장,상관면 만남의 광장 앞 카풀 주차장,트위스트머신,2023-02-01
303,상관면-신리-백암마을,상관면 만남의 광장 앞 카풀 주차장,상관면 만남의 광장 앞 카풀 주차장,유밍암,2023-02-01
304,상관면-신리-백암마을,상관면 만남의 광장 앞 카풀 주차장,상관면 만남의 광장 앞 카풀 주차장,스템퍼,2023-02-01
305,상관면-신리-백암마을,상관면 만남의 광장 앞 카풀 주차장,상관면 만남의 광장 앞 카풀 주차장,윗몸일으키기,2023-02-01
306,상관면-신리-지큐빌아파트,상관면 신리로 99,지큐빌아파트 101동 앞,롤링머신,2023-02-01
307,상관면-신리-지큐빌아파트,상관면 신리로 99,지큐빌아파트 101동 앞,에어워커,2023-02-01
308,상관면-신리-지큐빌아파트,상관면 신리로 99,지큐빌아파트 101동 앞,몸통강화기,2023-02-01
309,상관면-신리-지큐빌아파트,상관면 신리로 99,지큐빌아파트 101동 앞,가슴강화기,2023-02-01
310,상관면-신리-지큐빌아파트,상관면 신리로 99,지큐빌아파트 101동 앞,하체강화기,2023-02-01
311,상관면-신리-지큐빌아파트,상관면 신리로 99,지큐빌아파트 101동 앞,복근강화기,2023-02-01
312,상관면-신리-지큐빌아파트,상관면 신리로 99,지큐빌아파트 101동 앞,체어풀,2023-02-01
313,상관면-신리-지큐빌아파트,상관면 신리로 99,지큐빌아파트 101동 앞,싸이클런,2023-02-01
314,상관면-신리-지큐빌아파트,상관면 신리로 99,지큐빌아파트 101동 앞,암휠,2023-02-01
315,상관면-신리-지큐빌아파트,상관면 신리로 99,지큐빌아파트 101동 앞,숄더휠,2023-02-01
316,상관면-신리-지큐빌아파트,상관면 신리로 99,지큐빌아파트 101동 앞,트위스트 머신,2023-02-01
317,상관면-용암리-남관마을,상관면 마자길 7,남관마을,하늘걷기,2023-02-01
318,상관면-용암리-남관마을,상관면 마자길 7,남관마을,팔관절운동,2023-02-01
319,상관면-용암리-남관마을,상관면 마자길 7,남관마을,허리돌리기,2023-02-01
320,상관면-용암리-남관마을,상관면 마자길 7,남관마을,앉아밀어주기,2023-02-01
321,상관면-용암리-내아마을,상관면 내아길123번지,내아마을,큰활차머신,2023-02-01
322,상관면-용암리-내아마을,상관면 내아길123번지,내아마을,허리돌리기,2023-02-01
323,상관면-의암리-묘원마을,상관면 묘동길 51-7,묘원경로당 앞,공중걷기,2023-02-01
324,상관면-의암리-묘원마을,상관면 묘동길 51-7,묘원경로당 앞,허리돌리기,2023-02-01
325,상관면-의암리-계민마을,상관면 계월길 31,계민경로당 맞은편,큰활차머신,2023-02-01
326,상관면-의암리-계민마을,상관면 계월길 31,계민경로당 맞은편,트위스트머신,2023-02-01
327,이서면-반교리-정농1마을-2,정농 함박골 공원 우측,정농 함박골 공원 우측,말타기,2023-02-01
328,이서면-반교리-정농1마을-2,정농 함박골 공원 우측,정농 함박골 공원 우측,하늘걷기,2023-02-01
329,이서면-반교리-정농1마을-2,정농 함박골 공원 우측,정농 함박골 공원 우측,평행봉,2023-02-01
330,이서면-반교리-정농1마을-2,정농 함박골 공원 우측,정농 함박골 공원 우측,온몸허리돌리기,2023-02-01
331,이서면-반교리-정농1마을-1,정농 함박골 공원 좌측,정농 함박골 공원 좌측,하늘걷기,2023-02-01
332,이서면-반교리-정농1마을-1,정농 함박골 공원 좌측,정농 함박골 공원 좌측,윗몸일으키기,2023-02-01
333,이서면-반교리-정농1마을-1,정농 함박골 공원 좌측,정농 함박골 공원 좌측,온몸허리돌리기,2023-02-01
334,이서면-반교리-정농1마을-1,정농 함박골 공원 좌측,정농 함박골 공원 좌측,등허리지압기,2023-02-01
335,이서면-이문리-원이문마을-1,원이문 마을 앞 공터,원이문 마을 앞 공터,온몸허리돌리기,2023-02-01
336,이서면-이문리-원이문마을-1,원이문 마을 앞 공터,원이문 마을 앞 공터,팔관절운동,2023-02-01
337,이서면-금평리-신정마을-1,경로당 앞 공터,경로당 앞 공터,허리돌리기,2023-02-01
338,이서면-금평리-신정마을-1,경로당 앞 공터,경로당 앞 공터,원그리기,2023-02-01
339,이서면-상개리-삼태마을-1,경로당 옆 공터,경로당 옆 공터,큰활차머신,2023-02-01
340,이서면-상개리-삼태마을-1,경로당 옆 공터,경로당 옆 공터,구름걷기,2023-02-01
341,이서면-용서리-미르하숙마을-1,미르하숙마을 비행기 공원 내,미르하숙마을 비행기 공원 내,하늘걷기,2023-02-01
342,이서면-용서리-미르하숙마을-1,미르하숙마을 비행기 공원 내,미르하숙마을 비행기 공원 내,허리돌리기,2023-02-01
343,이서면-갈산리-덕동1마을-1,덕동1마을 산들공원 내,덕동1마을 산들공원 내,달리기,2023-02-01
344,이서면-갈산리-덕동1마을-1,덕동1마을 산들공원 내,덕동1마을 산들공원 내,원그리기,2023-02-01
345,이서면-갈산리-덕동1마을-1,덕동1마을 산들공원 내,덕동1마을 산들공원 내,3인 허리돌리기,2023-02-01
346,이서면-이문리-모고지마을-1,경로당 앞 공터,경로당 앞 공터,윗몸일으키기,2023-02-01
347,이서면-이문리-모고지마을-1,경로당 앞 공터,경로당 앞 공터,허리돌리기,2023-02-01
348,이서면-이문리-모고지마을-1,경로당 앞 공터,경로당 앞 공터,앉아당기기,2023-02-01
349,이서면-상개리-개태마을-1,경로당 옆 공터,경로당 옆 공터,허리돌리기,2023-02-01
350,이서면-상개리-개태마을-1,경로당 옆 공터,경로당 옆 공터,팔관절운동,2023-02-01
351,소양면-신교리-잠평마을-1,소양면 잠평2길 20,경로당 옆,허리돌리기+전신허리돌리기,2023-02-01
352,소양면-신교리-잠평마을-1,소양면 잠평2길 20,경로당 옆,공중걷기+달리기,2023-02-01
353,소양면-신교리-옹암마을-2,소양면 신교리 792-3,소양면 신교리 792-3,허리돌리기+원그리기,2023-02-01
354,소양면-신교리-옹암마을-2,소양면 신교리 792-3,소양면 신교리 792-3,가로하늘타기+하늘걷기,2023-02-01
