설치주소,설치기구 종류,담당부서,설치년도
충청남도 청양군 목면 송암리 126-7,허리돌리기 1개+ 상체근육풀기 1개,문화체육관광과,2020
충청남도 청양군 목면 지곡리 180,허리돌리기+공중걷기(1개)+   활차머신(1개),문화체육관광과,2020
충청남도 청양군 목면 안심리 603-1,허리돌리기1개+ 상체근육풀기1개+ 양팔줄당기기 1개,문화체육관광과,2021
충청남도 청양군 목면 안심리 409-1,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2021
충청남도 청양군 목면 안심리 344,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2021
충청남도 청양군 목면 안심리 672-1,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2021
충청남도 청양군 청남면 중산리 367-2,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2012
충청남도 청양군 청남면 인양리 412-1,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2013
충청남도 청양군 청남면 대흥리 233-2,허리돌리기1개+ 역기올리기1개,문화체육관광과,2013
충청남도 청양군 청남면 대흥리 411-1,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2013
충청남도 청양군 청남면 상장리 721,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2013
충청남도 청양군 청남면 왕진리 794-2,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2013
충청남도 청양군 청남면 동강리 643,허리돌리기1개+ 역기올리기1개,문화체육관광과,2013
충청남도 청양군 청남면 청소리 18,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2014
충청남도 청양군 청남면 지곡리 215,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2014
충청남도 청양군 청남면 동강리 333,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2014
충청남도 청양군 청남면 왕진리 856-2,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2015
충청남도 청양군 청남면 상장리 689,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2015
충청남도 청양군 청남면 청소리 533-4,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2015
충청남도 청양군 청남면 천내리 649,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2016
충청남도 청양군 청남면 왕진리 565,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2016
충청남도 청양군 청남면 내직리 112,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2016
충청남도 청양군 청남면 상장리 116-1,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2016
충청남도 청양군 청남면 내직리 176,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2017
