읍면동,설치위치,운동기구명,설치년도(년),설치업체,고장현황
도고면,도고면 기곡리 270-75(기곡1리),"다리뻗치기, 하늘걷기, 옆파도타기",2015,㈜오리온햄프로,해당없음
신창면,신창면 가내리 510-2(가내2리),"달리기운동+옆파도타기, 활차머신, 역기올리기+역기내리기",2019,㈜오리온햄프로,해당없음
신창면,신창면 궁화리 327-9(궁화1리),"달리기운동+옆파도타기, 활차머신, 역기올리기+역기내리기",2019,㈜오리온햄프로,해당없음
신창면,신창면 황산리 337-9,"옆파도타기+다리뻗치기, 역기올리기+역기내리기, 달리기운동+하늘걷기",2019,㈜명성이앤비,해당없음
신창면,신창면 남성리 423-1(남성1리),"달리기운동+옆파도타기, 활차머신, 역기올리기+역기내리기",2018,㈜오리온햄프로,해당없음
신창면,신창면 남성리 205-1(남성6리),"다리근육풀기, 활차머신, 철봉, 옆파도타기",2018,㈜오리온햄프로,해당없음
신창면,신창면 읍내리 579-9(읍내4리),"체어풀, 거꾸리, 달리기운동, 활차머신, 윗몸일으키기",2018,㈜오리온햄프로,해당없음
신창면,신창면 궁화리 539-5(궁화2리),"달리기운동+옆파도타기, 활차머신, 역기올리기+역기내리기",2018,㈜오리온햄프로,해당없음
신창면,신창면 신달리 216-4(신달2리),"달리기운동+옆파도타기, 활차머신, 역기올리기+역기내리기",2018,㈜오리온햄프로,해당없음
신창면,신창면 가덕리 162-1,"역기올리기+역기내리기, 달리기운동+옆파도타기, 활차머신",2017,㈜오리온햄프로,해당없음
신창면,신창면 신곡리 68-2,"역기올리기+역기내리기, 달리기운동+옆파도타기, 활차머신",2017,㈜오리온햄프로,해당없음
신창면,신창면 가내리 331-3,"역기올리기+역기내리기, 달리기운동+옆파도타기, 활차머신",2017,㈜오리온햄프로,해당없음
신창면,신창면 남성리 840,"하늘걷기, 다리뻗치기, 옆파도타기",2016,㈜오리온햄프로,해당없음
신창면,신창면 가내리 43-1,"활차머신, 허리돌리기",2015,㈜오리온햄프로,해당없음
